ExperimentTitle,SampleName,SampleDescription,SequencingDate,FileName,FileLocation
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R1_C1,Col_0 R1,2019-07-18T10:00:00,R1_C1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R1_C1,Col_0 R1,2019-07-18T10:00:00,R1_C1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R2_C2,Col_0 R2,2019-07-18T10:00:00,R2_C2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R2_C2,Col_0 R2,2019-07-18T10:00:00,R2_C2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R3_C3,Col_0 R3,2019-07-18T10:00:00,R3_C3_1.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R3_C3,Col_0 R3,2019-07-18T10:00:00,R3_C3_2.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R10_HP1,hub2_2 prn2_2 R1,2019-07-18T10:00:00,R10_HP1_1.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R10_HP1,hub2_2 prn2_2 R1,2019-07-18T10:00:00,R10_HP1_2.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R11_HP2,hub2_2 prn2_2 R2,2019-07-18T10:00:00,R11_HP2_1.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
Illumina sequencing of Arabidopsis hub2 and prn2 mutants,R11_HP2,hub2_2 prn2_2 R2,2019-07-18T10:00:00,R11_HP2_2.fq.gz,/mnt/picea/storage/data/arabidopsis/htuominen/arabidopsis-pib-scwf/X201SC19070081-Z01-F001/raw_data
